"orig.ident","nCount_RNA","nFeature_RNA","main_cell_type.pred","main_cell_type.pred_prob","UMAP1","UMAP2","celltype.pred.combined","Monocyte.pred","Monocyte.pred_prob","Monocyte.UMAP1","Monocyte.UMAP2","T cell.pred","T cell.pred_prob","T cell.UMAP1","T cell.UMAP2"
"Pan",4884,1990,"NK cell",1,11.5164375305176,10.4595546722412,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5174,1987,"NK cell",1,11.3798198699951,10.3826332092285,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",2627,1318,"NK cell",1,11.0470104217529,10.4965677261353,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3863,1788,"NK cell",1,11.4909753799438,10.4343910217285,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3814,1621,"NK cell",1,10.3697624206543,10.417592048645,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3761,1678,"NK cell",1,10.6531524658203,10.4365749359131,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4218,1808,"NK cell",1,11.1365509033203,10.673378944397,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",2525,1272,"NK cell",1,11.3279228210449,10.1628437042236,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4678,2016,"NK cell",1,11.2144327163696,10.7698373794556,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",7178,2516,"NK cell",1,11.4147481918335,10.6624774932861,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3542,1682,"NK cell",1,11.4837217330933,10.411413192749,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3955,1612,"NK cell",1,10.8356809616089,10.381721496582,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5722,2054,"NK cell",1,10.5739240646362,10.5865821838379,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4762,1987,"NK cell",1,11.1294870376587,10.5739336013794,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",6730,2639,"NK cell",1,11.2050876617432,10.8700523376465,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3912,1684,"NK cell",1,11.3865270614624,10.1634845733643,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",6641,2415,"NK cell",1,11.5367631912231,10.4828510284424,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3495,1461,"NK cell",1,10.5441045761108,10.2772455215454,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",1437,862,"NK cell",1,10.7129020690918,10.0902843475342,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4142,1798,"NK cell",1,11.2148990631104,10.3011817932129,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",1552,927,"NK cell",0.8,10.6338720321655,10.1239376068115,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",1502,865,"NK cell",1,10.5137090682983,10.0847930908203,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5880,2274,"NK cell",1,10.96715259552,10.8086175918579,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5558,2148,"NK cell",0.8,10.5649156570435,10.5038557052612,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",1490,792,"NK cell",0.6,10.6760225296021,10.0661373138428,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3016,1344,"NK cell",0.6,10.1677904129028,10.190938949585,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5723,2193,"NK cell",1,11.5103368759155,10.4242582321167,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",2822,1256,"NK cell",1,10.9835538864136,10.2005681991577,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4696,1934,"NK cell",1,11.4296464920044,10.6803388595581,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",6009,2353,"NK cell",0.8,11.5112066268921,10.6070165634155,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3943,1689,"NK cell",1,11.2971391677856,10.613808631897,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",6867,2546,"NK cell",1,10.8693809509277,10.8573541641235,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5646,2283,"NK cell",1,11.0184001922607,10.7599086761475,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3886,1720,"NK cell",1,11.0666027069092,10.4850740432739,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",2825,1553,"NK cell",1,11.3194932937622,10.7931547164917,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5429,2032,"NK cell",1,11.4815464019775,10.3337097167969,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",9919,2825,"NK cell",1,10.9582548141479,10.8477573394775,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3492,1447,"NK cell",1,10.9866819381714,10.4760837554932,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5081,2158,"NK cell",0.8,11.6678285598755,10.4163599014282,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",6273,2416,"NK cell",1,11.351203918457,10.8144941329956,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4540,2033,"NK cell",1,11.5282230377197,10.5879831314087,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",2957,1384,"NK cell",1,11.42848777771,10.2574129104614,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4850,2047,"NK cell",1,11.3825597763062,10.7231798171997,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3691,1734,"NK cell",1,11.1663265228271,10.2865676879883,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5033,2241,"NK cell",1,11.2731409072876,10.8127708435059,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3528,1567,"NK cell",1,11.2868146896362,10.4259843826294,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5115,1941,"NK cell",1,11.351128578186,10.2741317749023,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4303,1645,"NK cell",1,11.1570930480957,10.1412391662598,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",1389,785,"NK cell",0.8,5.24706268310547,5.75164413452148,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4867,2030,"NK cell",0.6,7.55967283248901,8.6860237121582,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",6306,2350,"NK cell",1,11.4840507507324,10.6685886383057,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4533,1978,"NK cell",1,11.1761827468872,10.4703378677368,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3994,1903,"NK cell",1,10.5497493743896,10.6304206848145,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5674,2168,"NK cell",1,11.4336652755737,10.6655540466309,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3710,1566,"NK cell",0.6,11.1003198623657,10.2779006958008,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4537,1760,"NK cell",0.6,10.4052381515503,10.469895362854,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",18849,4066,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",5096,1896,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
